"Date","Open","High","Low","Close"
"12 Aug 2022","30633.30","30850.10","30560.75","30806.35"
"11 Aug 2022","30547.75","30641.30","30519.30","30583.85"
"10 Aug 2022","30459.00","30494.40","30190.30","30318.90"
"08 Aug 2022","30282.90","30481.15","30155.75","30366.05"
"05 Aug 2022","30273.95","30354.35","30167.50","30258.35"
"04 Aug 2022","30158.75","30287.80","29658.95","30190.85"
"03 Aug 2022","30207.00","30243.95","29758.90","30017.65"
"02 Aug 2022","30110.55","30288.25","29942.40","30228.15"
"01 Aug 2022","29791.70","30155.85","29641.00","30128.00"
"29 Jul 2022","29426.75","29676.10","29399.10","29634.25"
"28 Jul 2022","29153.55","29245.75","28979.90","29219.75"
"27 Jul 2022","28633.65","29003.90","28556.85","28976.30"
"26 Jul 2022","29050.30","29055.10","28626.95","28658.75"
"25 Jul 2022","29048.35","29091.60","28870.80","29020.75"
"22 Jul 2022","29181.60","29236.60","28953.20","29047.85"
"21 Jul 2022","28682.00","29087.75","28630.70","29049.15"
"20 Jul 2022","28870.65","28871.50","28596.30","28654.40"
"19 Jul 2022","28336.15","28635.95","28297.25","28600.95"
"18 Jul 2022","28236.35","28437.15","28201.90","28409.75"
"15 Jul 2022","27903.55","28051.15","27796.45","28017.25"
"14 Jul 2022","27895.90","27945.90","27553.55","27803.50"
"13 Jul 2022","27925.90","28032.10","27751.20","27827.85"
"12 Jul 2022","27811.10","28010.80","27730.65","27782.05"
"11 Jul 2022","27557.10","27949.80","27496.05","27908.05"
"08 Jul 2022","27740.75","27749.50","27459.45","27649.05"
"07 Jul 2022","27389.65","27594.65","27360.65","27572.45"
"06 Jul 2022","26747.50","27237.20","26640.35","27204.35"
"05 Jul 2022","26871.10","27011.35","26650.40","26698.10"
"04 Jul 2022","26609.55","26791.10","26502.50","26769.55"
"01 Jul 2022","26356.60","26639.80","26179.20","26587.30"
"30 Jun 2022","26713.90","26814.45","26406.70","26452.75"
"29 Jun 2022","26515.00","26716.45","26470.30","26672.15"
"28 Jun 2022","26621.15","26821.10","26464.25","26791.00"
"27 Jun 2022","26774.40","26861.55","26678.90","26713.25"
"24 Jun 2022","26275.30","26477.85","26257.85","26449.05"
"23 Jun 2022","25835.70","26157.00","25734.95","26079.95"
"22 Jun 2022","26115.50","26115.50","25706.50","25767.85"
"21 Jun 2022","25477.75","26231.15","25461.90","26194.40"
"20 Jun 2022","25900.30","25957.95","25048.15","25292.90"
"17 Jun 2022","25989.85","26221.65","25702.60","25877.70"
"16 Jun 2022","27097.45","27145.15","26065.70","26180.35"
"15 Jun 2022","26861.65","26950.75","26726.45","26809.00"
"14 Jun 2022","26619.50","27034.30","26604.70","26715.65"
"13 Jun 2022","27115.05","27130.80","26701.75","26777.80"
"10 Jun 2022","27541.10","27677.40","27485.20","27575.80"
"09 Jun 2022","27546.95","27846.95","27475.85","27805.90"
"08 Jun 2022","27830.55","27960.30","27570.30","27670.80"
"07 Jun 2022","27889.95","27937.25","27639.85","27803.95"
"06 Jun 2022","27994.85","28048.55","27634.80","27992.65"
"03 Jun 2022","28700.85","28729.15","27994.10","28023.35"
"02 Jun 2022","28321.55","28527.00","28195.75","28491.15"
"01 Jun 2022","28345.85","28535.20","28144.45","28299.90"
"31 May 2022","28315.70","28536.30","28232.55","28288.35"
"30 May 2022","27927.60","28348.30","27916.20","28326.35"
"27 May 2022","27573.15","27681.65","27429.95","27657.25"
"26 May 2022","27019.15","27392.70","26472.60","27281.15"
"25 May 2022","27668.75","27726.40","26862.15","26918.70"
"24 May 2022","27849.10","27896.40","27514.30","27595.30"
"23 May 2022","28005.10","28184.10","27732.55","27775.45"
"20 May 2022","27712.75","27899.05","27688.25","27872.20"
"19 May 2022","27463.30","27577.15","27162.05","27271.90"
"18 May 2022","28327.40","28461.20","28043.45","28111.70"
"17 May 2022","27585.65","28220.60","27519.45","28172.90"
"16 May 2022","27216.80","27492.95","26978.85","27425.50"
"13 May 2022","27168.05","27648.05","27008.90","27085.65"
"12 May 2022","27262.05","27292.35","26601.65","26810.05"
"11 May 2022","27644.35","27860.50","26909.55","27450.80"
"10 May 2022","28026.80","28361.40","27472.90","27548.60"
"09 May 2022","28310.60","28378.25","27872.15","28074.45"
"06 May 2022","28595.15","28699.70","28359.50","28584.20"
"05 May 2022","29311.00","29527.30","29030.50","29104.35"
"04 May 2022","29844.20","29908.75","28959.85","29074.30"
"02 May 2022","29666.10","29779.80","29528.75","29703.40"
"29 Apr 2022","30333.10","30431.25","29811.70","29880.35"
"28 Apr 2022","30219.45","30240.35","29890.80","30134.60"
"27 Apr 2022","30009.85","30127.20","29686.60","29954.30"
"26 Apr 2022","30052.70","30240.30","30011.65","30215.35"
"25 Apr 2022","30055.85","30057.25","29637.90","29733.10"
"22 Apr 2022","30435.80","30622.05","30263.60","30315.85"
"21 Apr 2022","30504.20","30642.30","30478.35","30603.30"
"20 Apr 2022","30224.10","30525.70","30080.40","30279.25"
"19 Apr 2022","30712.25","30838.75","29785.15","30055.00"
"18 Apr 2022","30565.85","30586.00","30212.00","30473.55"
"13 Apr 2022","30995.25","31079.90","30766.80","30796.30"
"12 Apr 2022","31396.70","31396.70","30539.40","30804.90"
"11 Apr 2022","31327.50","31506.55","31298.00","31408.15"
"08 Apr 2022","31101.25","31283.05","31006.55","31214.20"
"07 Apr 2022","31273.35","31401.65","30792.70","30911.30"
"06 Apr 2022","31002.05","31285.25","30900.15","31229.20"
"05 Apr 2022","30830.20","31129.00","30704.80","31046.70"
"04 Apr 2022","30293.55","30646.85","30286.10","30625.20"
"01 Apr 2022","29734.60","30167.40","29691.70","30134.55"
"31 Mar 2022","29674.40","29801.40","29619.15","29692.30"
"30 Mar 2022","29553.20","29661.15","29459.55","29590.70"
"29 Mar 2022","29375.35","29481.95","29200.15","29342.30"
"28 Mar 2022","29363.45","29455.85","28975.10","29221.20"
"25 Mar 2022","29454.75","29489.35","29154.10","29274.55"
"24 Mar 2022","29101.20","29349.65","29036.95","29308.35"
"23 Mar 2022","29148.55","29259.10","29047.65","29137.30"
"22 Mar 2022","28931.20","28993.65","28584.65","28977.30"
"21 Mar 2022","29170.05","29170.05","28862.10","28896.45"
"17 Mar 2022","28931.20","29020.80","28905.60","28977.90"
"16 Mar 2022","28353.25","28604.30","28310.55","28584.55"
"15 Mar 2022","28357.50","28485.65","27878.75","28021.35"
"14 Mar 2022","28249.80","28345.15","28029.70","28267.50"
"11 Mar 2022","27981.85","28247.35","27855.40","28210.35"
"10 Mar 2022","28350.95","28386.85","27906.00","28038.70"
"09 Mar 2022","27454.25","27882.05","27326.65","27785.50"
"08 Mar 2022","26870.40","27247.35","26634.20","27198.55"
"07 Mar 2022","27000.70","27012.45","26532.65","26865.90"
"04 Mar 2022","27950.30","27966.95","27475.75","27517.10"
"03 Mar 2022","28583.6","28643.7","28033.9","28102.90"
"02 Mar 2022","28016.35","28353.4","27940.85","28217.10"
"28 Feb 2022","27678.15","28255.1","27447.15","28223.45"
"25 Feb 2022","27407.75","28034.95","27396.7","27953.30"
"24 Feb 2022","27562.6","27809.5","26779.05","26832.65"
"23 Feb 2022","28503.35","28718.55","28437.00","28467.00"
"22 Feb 2022","27828.60","28348.40","27826.05","28284.90"
"21 Feb 2022","28795.60","28914.20","28427.45","28575.75"
"18 Feb 2022","29024.20","29253.45","28891.90","28934.35"
"17 Feb 2022","29425.85","29513.50","29156.80","29201.30"
"16 Feb 2022","29568.95","29630.35","29203.70","29289.95"
"15 Feb 2022","28660.75","29411.65","28270.50","29375.30"
"14 Feb 2022","29050.80","29189.20","28479.55","28558.75"
"11 Feb 2022","30118.30","30164.55","29656.15","29729.40"
"10 Feb 2022","30359.40","30408.05","30131.75","30343.45"
"09 Feb 2022","30055.70","30288.15","30037.35","30257.10"
"08 Feb 2022","30242.70","30325.50","29591.00","29916.85"
"07 Feb 2022","30501.60","30609.70","29994.90","30129.25"
"04 Feb 2022","30667.60","30779.75","30399.85","30441.55"
"03 Feb 2022","30948.60","30949.25","30604.80","30673.90"
"02 Feb 2022","30755.00","31006.85","30745.25","30971.55"
"01 Feb 2022","30570.55","30645.15","30129.15","30611.60"
"31 Jan 2022","30175.20","30360.70","30097.60","30273.95"
"28 Jan 2022","29590.90","30329.90","29586.90","29804.90"
"27 Jan 2022","29478.05","29478.05","28953.60","29364.70"
"25 Jan 2022","29056.15","29710.20","28627.05","29676.90"
"24 Jan 2022","30553.25","30582.45","29075.95","29383.00"
"21 Jan 2022","31167.90","31209.55","30342.70","30563.60"
"20 Jan 2022","31352.05","31483.00","31156.40","31312.05"
"19 Jan 2022","31348.80","31392.45","30968.70","31363.30"
"18 Jan 2022","32190.75","32230.30","31281.65","31381.45"
"17 Jan 2022","32062.25","32140.40","31980.70","32040.60"
"14 Jan 2022","31913.10","32092.60","31788.90","31989.65"
"13 Jan 2022","31868.00","32029.75","31661.60","31997.20"
"12 Jan 2022","31568.25","31817.00","31503.60","31791.55"
"11 Jan 2022","31357.60","31537.60","31304.25","31400.40"
"10 Jan 2022","31246.35","31408.45","31232.65","31371.65"
"07 Jan 2022","31054.05","31198.75","30892.55","31111.55"
"06 Jan 2022","30701.30","30983.05","30566.75","30956.85"
"05 Jan 2022","30868.75","30971.30","30728.15","30917.55"
"04 Jan 2022","30911.00","30980.65","30686.90","30870.35"
"03 Jan 2022","30487.75","30829.30","30483.65","30788.00"
"31 Dec 2021","30110.7","30479.7","30099.9","30442.90"
"30 Dec 2021","30126.15","30144.65","29946.05","30023.25"
"29 Dec 2021","30113.65","30257.7","30056.8","30135.30"
"28 Dec 2021","29908","30132.85","29895.2","30094.85"
"27 Dec 2021","29470.2","29778.6","29245.05","29743.15"
"24 Dec 2021","30043.75","30049.35","29508.65","29612.85"
"23 Dec 2021","29892.65","29972.9","29816.7","29927.30"
"22 Dec 2021","29349.85","29706.35","29328.7","29659.10"
"21 Dec 2021","29001.75","29467.9","28948.75","29207.75"
"20 Dec 2021","29530.3","29570.25","28396.1","28838.20"
"17 Dec 2021","30667.45","30685.55","29859.15","29939.30"
"16 Dec 2021","31086.75","31151.75","30611.5","30676.75"
"15 Dec 2021","31103.7","31158.95","30848.8","30888.55"
"14 Dec 2021","31040.75","31107.25","30776.2","31067.25"
"13 Dec 2021","31422.3","31504.35","31077.5","31125.70"
"10 Dec 2021","30924.85","31225.95","30883.05","31203.05"
"09 Dec 2021","30925.15","30979.8","30699.1","30955.20"
"08 Dec 2021","30496.7","30792.65","30480.25","30769.15"
"07 Dec 2021","30083","30317.95","29951.25","30282.60"
"06 Dec 2021","30331.3","30373.6","29811.9","29863.20"
"03 Dec 2021","30384.35","30589.75","30243.75","30293.25"
"02 Dec 2021","30020.4","30338.5","29903.95","30296.45"
"01 Dec 2021","29851.15","29996.25","29623.95","29955.70"
"30 Nov 2021","29610.45","30236.15","29563.65","29650.65"
"29 Nov 2021","29675.5","29775.45","28933.1","29515.25"
"26 Nov 2021","30619.05","30728.15","29841.4","29920.40"
"25 Nov 2021","30792.8","30972.4","30575.8","30926.60"
"24 Nov 2021","31011.5","31101.7","30639.55","30743.25"
"23 Nov 2021","30145.6","30896.6","29987","30865.30"
"22 Nov 2021","31294.25","31316.95","30029.65","30331.60"
"18 Nov 2021","31769.35","31853.15","31089.6","31271.40"
"17 Nov 2021","31896.05","31956.45","31680.9","31729.00"
"16 Nov 2021","32095.05","32199.4","31875.95","31942.55"
"15 Nov 2021","32048.55","32088.7","31884.1","32028.30"
"12 Nov 2021","32018.3","32048.8","31666.55","31925.85"
"11 Nov 2021","32089.3","32094.8","31634.3","31782.15"
"10 Nov 2021","32140.95","32229.65","32006.4","32044.45"
"09 Nov 2021","31913.3","32259.25","31879.75","32186.35"
"08 Nov 2021","31552.75","31854.8","31282.2","31818.65"
"04 Nov 2021","31426.4","31507.65","31411.8","31442.65"
"03 Nov 2021","31415.5","31503.55","31049.85","31197.50"
"02 Nov 2021","31151.15","31329.4","31130.5","31281.05"
"01 Nov 2021","30611.15","31059.5","30526.95","31023.70"
"29 Oct 2021","30307.55","30783.75","29838.85","30469.55"
"28 Oct 2021","31140.55","31141.2","30437.2","30514.05"
"27 Oct 2021","31271.6","31314.1","31070.85","31125.55"
"26 Oct 2021","30611.25","31143.4","30607.4","31101.95"
"25 Oct 2021","31248.05","31279.9","30107.85","30553.40"
"22 Oct 2021","31434.55","31612.95","30796.8","31082.45"
"21 Oct 2021","31670.65","31733.25","31025.55","31356.15"
